iter	Passed	Remaining
863	2823	444
864	2826	441
865	2829	437
866	2832	434
867	2836	431
868	2839	428
869	2842	424
870	2845	421
871	2848	418
872	2852	414
873	2855	411
874	2858	408
875	2861	405
876	2865	401
877	2868	398
878	2871	395
879	2874	391
880	2877	388
881	2880	385
882	2884	382
883	2887	378
884	2890	375
885	2893	372
886	2896	369
887	2899	365
888	2902	362
889	2905	359
890	2909	355
891	2912	352
892	2915	349
893	2918	346
894	2922	342
895	2925	339
896	2928	336
897	2931	333
898	2935	329
899	2938	326
900	2942	323
901	2945	319
902	2948	316
903	2952	313
904	2955	310
905	2958	306
906	2962	303
907	2965	300
908	2968	297
909	2971	293
910	2974	290
911	2977	287
912	2980	283
913	2983	280
914	2986	277
915	2989	274
916	2992	270
917	2996	267
918	2999	264
919	3002	261
920	3006	257
921	3009	254
922	3013	251
923	3016	248
924	3019	244
925	3022	241
926	3026	238
927	3029	235
928	3032	231
929	3036	228
930	3039	225
931	3042	222
932	3046	218
933	3049	215
934	3053	212
935	3056	208
936	3060	205
937	3063	202
938	3066	199
939	3069	195
940	3073	192
941	3076	189
942	3079	186
943	3082	182
944	3085	179
945	3088	176
946	3092	173
947	3095	169
948	3098	166
949	3101	163
950	3104	159
951	3108	156
952	3111	153
953	3114	150
954	3117	146
955	3120	143
956	3124	140
957	3127	137
958	3130	133
959	3133	130
960	3136	127
961	3139	124
962	3142	120
963	3145	117
964	3149	114
965	3152	110
966	3155	107
967	3158	104
968	3161	101
969	3165	97
970	3168	94
971	3171	91
972	3174	88
973	3178	84
974	3181	81
975	3184	78
976	3187	75
977	3190	71
978	3193	68
979	3196	65
980	3199	61
981	3203	58
982	3206	55
983	3209	52
984	3212	48
985	3216	45
986	3219	42
987	3222	39
988	3225	35
989	3229	32
990	3232	29
991	3235	26
992	3238	22
993	3242	19
994	3245	16
995	3248	13
996	3251	9
997	3254	6
998	3257	3
999	3261	0
